x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1559,1857,1506,881,2106,1923,2476,2604,1604,1904
1160,1743,449,1636,1447,2658,2699,1570,670,1815
790,855,348,1716,2167,2366,75,1323,489,875
340,53,870,1763,1678,775,2658,891,1507,1532
676,525,1127,1391,2513,1155,281,1073,1895,1694
972,2160,66,1652,2303,1576,827,623,532,937
1095,2690,260,2394,2474,721,1179,1609,929,2201
2492,826,1048,2712,1402,1639,2350,1016,1375,410
1423,1316,1734,158,134,2099,943,1869,125,2121
226,1948,2133,1573,624,722,316,649,1197,314
983,1811,2586,2605,1663,2388,1457,1892,1280,670
404,116,567,1514,658,1461,1399,437,433,587
748,1880,2256,2670,547,871,2528,2343,1032,774
1021,2167,1076,1279,2312,1751,138,2568,1710,104
1941,1770,2638,966,2165,715,2667,2162,2530,1476
24,1712,749,1263,524,1501,2388,1443,1268,308
178,543,895,1364,119,909,656,2197,2680,1138
744,1380,1632,2131,1222,70,1724,1873,2527,1479
213,176,1041,929,2657,1525,2004,1798,464,2495
1964,497,1331,1370,982,2052,2322,1540,196,1394
146,1625,987,611,2472,2573,466,2040,824,170
15,785,1327,1752,1591,1708,1434,2566,2043,609
1266,1611,407,1678,1308,2528,2242,2028,2159,1539
1120,552,2522,251,1511,2015,1255,988,1697,105
137,1171,264,1770,773,2654,551,2001,801,643
602,1943,2584,715,436,2572,2689,1737,1327,1932
725,307,1117,1071,1350,2403,2520,343,1941,1652
142,657,202,1633,579,2451,1900,10,1447,2668
2625,222,2140,1874,2241,1600,595,929,2654,1933
1676,870,2518,2106,1935,2679,739,153,1784,542
1647,2420,154,2119,1365,2586,2411,1880,660,992
1994,1990,820,1159,1626,1933,990,132,967,1979
1637,1877,2444,2694,1756,2047,1753,1372,936,918
2063,2235,622,127,1864,1741,2405,1536,2147,2634
958,1065,1835,1496,1355,45,790,1979,1852,155
1891,1437,1300,155,2129,240,1548,2322,1890,1607
2411,1822,155,972,2316,465,57,2229,2046,238
